Lyrics,Song,Artist
"

You are the sun and moon and stars, are you
And I could never run away from you

You try at working out chaotic things
And why should I believe myself, not you?

It's like the world is going to end so soon
And why should I believe myself?

You, me and everything caught in the fire
I can see me drowning, caught in the fire

The earlier version finishes with the following:
Hey the sun and moon and stars are yeah..
But I won't share myself with you
You to me
",You,radiohead
"

When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fucking special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here

I don't care if it hurts
I want to have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fucking special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here

Oh, oh

She's running out again
She's running out
She run run run run
Run

Whatever makes you happy
Whatever you want
You're so fucking special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
I don't belong here
",Creep,radiohead
"

He's bitter and twisted
He knows what he wants
He wants to be loved and he wants to belong
He wants us to listen, he wants us to weep
And he was a stupid baby who turned into a powerful freak

But how do you?
How do you?
How do you?

He lives with his mother
But we show him respect
He's a dangerous bigot, but we always forget
And he's just like his daddy because he cheats on his friends
And he steals and he bullies anyway that he can

But how do you?
How do you?
How do you?
",How Do You?,radiohead
"

And the wise man say I don't want to hear your voice
And the thin man say I don't want to hear your voice
And they're cursing me, and they won't let me be
And there's nothing to say, and there's nothing to do

Stop whispering, start shouting
Stop whispering, start shouting

And the mother say we spit on your son some more
And the buildings say we spit on your face some more
And the feeling is that there's something wrong
Because I can't find the words and I can't find the songs

Stop whispering, start shouting
Stop whispering, start shouting

Dear Sir, I have a complaint
Can't remember what it is

It doesn't matter anyway
It doesn't matter anyway
",Stop Whispering,radiohead
"

Been thinking about you, your record's a hit
Your eyes are on my wall, your teeth are over there
But I'm still no-one, and you're not a star
What do you care?

Been thinking about you, and there's no rest
Shit, I still love you, still see you in bed
But I'm playing with myself, and what do you care
When the other men are far, far better

All the things you got
All the things you need
Who bought you cigarettes and bribed the company
To come and see you, honey

I've been thinking about you, so how can you sleep
These people aren't your friends, they're paid to kiss your feet
But they don't know what I know, and why should you care
When I'm not there

Been thinking about you, and there's no rest
Shit, I still love you, still see you in bed
But I'm playing with myself, what do you care
When I'm not there

All the things you got, you'll never need
All the things you've got, I bled and I bleed to please you

Been thinking about you...
",Thinking About You,radiohead
"

Destiny, destiny protect me from the world
Destiny, hold my hand protect me from the world
Here we are with our running and confusion
And I don't see no confusion anywhere

And if the world does turn
And if London burns I'll be standing on the beach with my guitar
I wanna be in a band when I get to heaven
Anyone can play guitar
And they won't be a nothing anymore

Grow my hair, grow my hair
I am Jim Morrison
Grow my hair
I wanna be wanna be wanna be Jim Morrison

Here we are with our running and confusion
And I don't see no confusion anywhere
And if the world does turn
And if London burns I'll be standing on the beach with my guitar
I wanna be in a band when I get to heaven
Anyone can play guitar
And they won't be a nothing anymore
",Anyone Can Play Guitar,radiohead
"

Soul destroyed with clever toys for little boys
It's inevitable, inevitable, it's a soul destroyed
You're free until you drop
You're free until you've had enough
But you don't understand
You've no ripcord
No ripcord, no ripcord, no ripcord

Aeroplane
Do I mean what I mean?
It's inevitable, inevitable, oh aeroplane
A thousand miles an hour
And politics in power
That you don't understand
You've no ripcord
No ripcord, no ripcord, no ripcord

The answer to your prayers
We'll drop you anywhere
With no ripcord
No ripcord, no ripcord, no ripcord
",Ripcord,radiohead
"

I never wanted anything but this
I tried hard, worked hard
I ran around in domestic bliss
I fought hard, died hard

Everytime you're running over me
Everytime you're running I can see

I'm not a vegetable
I will not control myself
I spit on the hand that feeds me
I will not control myself

I never wanted any broken bones
Scarred face, no home
Your words surround me and I asphyxiate
And I burn all hate

Everytime you're running out on me
Everytime you're running I can see

I'm not a vegetable
I will not control myself
I spit on the hand that feeds me
I will not control myself

The waters break, the waters run all over me
The waters break, the waters run
And this time you're gonna pay

I'm not a vegetable
I will not control myself
I spit on the hand that feeds me
I will not control myself..
",Vegetable,radiohead
"

I can't afford to breathe in this time
Nowhere to sit without a gun in my hand
Hooked back up to the cathode ray
I'm better off dead
I'm better off dead
I'm better off

Prove yourself
Prove yourself
Prove yourself

I wanna breathe, I wanna grow
I'd say I want it but I don't know how
I work, I bleed, I beg and I pray
But I'm better off dead
I'm better off dead
I'm better off

Prove yourself
Prove yourself
Prove yourself

Why?
",Prove Yourself,radiohead
"

Please forget the words that I just blurted out
It wasn't me, it was my strange and creeping doubt
It keeps rattling my cage
And there's nothing in this world will keep it down

Even though I might, even thought I try, I can't
Even though I might, even thought I try, I can't

So many things that keep,  that keep me underground
So many words that I, that I can never find
If you give up on me now I'll be gutted like I've never been before

And even though I might, even thought I try, I can't
Even though I might, even thought I try, I can't

If you give up on me now I'll be gutted like I've never been before
And even though I might, even thought I try, I can't
Even though I might, even thought I try, I can't
Even though I might, even thought I try, I can't
Even though I might, even thought I try, I can't
",I Can't,radiohead
"

I feel better, 
I feel better now you've gone
I got better, 
I got better, I got strong

And I feel better, 
I feel better now there's nothing wrong
I got better, 
I got better, I got strong

Tell me something, 
Tell me something I don't know
Tell me one thing, 
Tell me one thing and let it go

I've got something, 
I've got something heaven knows
I got something, 
I got something I don't know
",Lurgee,radiohead
"

In my mind
And nailed into my heels
All the time
Killing what I feel

And everything I touch
(all wrapped up in cotton wool)
(all wrapped up in sugar-coated pills)
Turns to stone
Everything I touch
(all wrapped up in cotton wool)
(all wrapped up in sugar-coated pills)
Turns to stone

I am fused
Just in case I blow out
I am glued
Just in case I crack out

And everything I touch turns to stone
Everything I touch
(all wrapped up in cotton wool)
(all wrapped up in sugar-coated pills)
Turns to stone
",Blow Out,radiohead
"

Faith, you're driving me away
You do it everyday
You don't mean it
But it hurts like hell

My brain says I'm receiving pain
A lack of oxygen
From my life support
My iron lung

We're too young to fall asleep
Too cynical to speak
We are losing it
Can't you tell?

We scratch our eternal itch
A twentieth century bitch
And we are grateful for
Our iron lung

The headshrinkers, they want everything
My uncle Bill, my Belisha beacon
The headshrinkers, they want everything
My uncle Bill, my Belisha beacon

Suck, suck your teenage thumb
Toilet trained and dumb
When the power runs out
We'll just hum

This, this is our new song
Just like the last one
A total waste of time
My iron lung
The headshrinkers, they want everything
My uncle Bill, my Belisha beacon
The headshrinkers, they want everything
My uncle Bill, my Belisha beacon

And if you're frightened
You can be frightened
You can be, it's OK
And if you're frightened
You can be frightened
You can be, it's OK

The headshrinkers, they want everything
My uncle Bill, my Belisha beacon
",My Iron Lung,radiohead
"

Rust in the mountains
Rust in the brain
The air is sacred here
In spite of your claim

Up on the the rooftops
Out of reach
Trickster is meaningless
Trickster is weak

He's talking out the world
Talking out the world
Hey, hey, hey, this is only halfway
Hey, hey, hey, this is only halfway

I wanted you so bad
That I couldn't say
These things fall apart

We wanted out so bad
That we couldn't say
All things fall apart

We're talking out the world
Talking out the world
Hey, hey, hey, this is only halfway
Hey, hey, hey, this is only halfway

Truant kids
A can of brick dust worms
Who do not want to climb down from
Their chestnut tree

Long white gloves
Police check carefully
Escaped from the zoo
The perfect child facsimile is

Talking out the world
Talking out the world
Hey, hey, hey
Hey, hey, hey
",The Trickster,radiohead
"

Bummed out again by your only business friend
The smell of fear is thicker than you think
Don't do it
Don't jump

Changed shape to fit
In the end you just feel sick
A million love songs under anaesthetic
Hey don't do it
Don't jump

Lewis
Save yourself the pain
You'll never get there
Lewis
Save yourself the pain
It never really mattered

We never noticed
We never understood
He just get crushed to fit
He never even smelt out the best
It's the best
It's the best day of your life

Lewis
Save yourself the pain
You'll never get there
Lewis
Save yourself the pain
It never really mattered
No
I swear
I swear
I swear

Oh
Mistreated
A low corporate
Mistreated
A low corporate

I don't wanna to talk about it
I don't wanna to talk about it
I don't wanna to talk about Lewis, Lewis, Lewis
I don't wanna to talk about Lewis, Lewis, Lewis
",Lewis (Mistreated),radiohead
"

I wrapped you inside my coat 
When they came to firebomb the house 
I didn't feel pain, 'cause no-one can touch me 
Now that I'm held in your spell 

A beautiful girl 
A beautiful girl 
Can turn your world into dust 

Sell me a car that goes 
Sell me a house that stands 
I never cared before, I never cared before 
I never cared before, before, before, before 

A beautiful girl 
A beautiful girl 
Can turn your world into dust 

A beautiful girl 
A beautiful girl 
Can turn your world into dust 

I stood in front of her face 
When the first bullet was shot
",Punchdrunk Lovesick Singalong,radiohead
"

The easiest way to sleep at night
Is to carry on believing that I don't exist
The easiest way to sell your soul
is to carry on believing we don't exist
It must be hard
With your head on backwards
",Permanent Daylight,radiohead
"

I am gone
Everybody's raging
And these fruits
They still taste of poison
I won't be around
When you really need me

I can't sleep
Why can't someone hold me
I need warmth
A restless body cracks some more
I won't have the strength
When you really need me
",Lozenge Of Love,radiohead
"

I must get out once in a while
Everything is starting to die
The dust settles
The worms dig
Spiders crawl over the bed

I must get out once in a while
I eat all day and now I'm fat
Yesterday's meal is hugging the plates
You never wash up after yourself
",You Never Wash Up After Yourself,radiohead
"

When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so very special

And I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here

I don't care if it hurts
I want to have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so very special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
When I don't belong here

Oh, oh

She's running out again
She's running out
She run run run run
Run

Whatever makes you happy
Whatever you want
You're so very special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
I don't belong here
",Creep (Acoustic),radiohead
